Item name,Quantity,Unit of Measure,,Min.Quantity
"Blind flange OD215Mm (4"") Material:MS",1.00,,,0.00
"Blind flange OD215Mm (4"") Material:MS",2.00,,,1.00
"Blind flange OD216Mm (4"") Material:Bronze",1.00,,,0.00
"Blind flange OD228Mm (4"") Material:MS",1.00,,,0.00
"Blind flange OD228Mm (4"") Material:MS",1.00,,,0.00
"Blind flange OD228Mm (5"") Material:Bronze",1.00,,,0.00
"Blind flange OD228Mm (5"") Material:Bronze",1.00,,,1.00
"Blind flange OD230Mm (4"") Material:MS",3.00,,,2.00
"Blind flange OD230Mm (5"") Material:MS",5.00,,,3.00
"Blind flange OD230Mm ID155Mm (6"") Material:MS",1.00,,,0.00
"Blind flange OD235Mm (5"") Material:Bronze",2.00,,,1.00
