Item name,Quantity,Unit of Measure,,Min.Quantity
Maxiprofile 109. ÿ160xÿ110x3,2.00,,,1.00
Maxiprofile ÿ158xÿ112x4 (Used),4.00,,,0.00
Measuring blades ( long)  0.03-1.00 Mm,1.00,,,0.00
Measuring blades 0.03-1.00 Mm,1.00,,,0.00
Mech. Seal for CW pump 111.13Mm,2.00,,,1.00
Mechanical / Oil seal 17X35X10Mm,4.00,,,0.00
Mechanical seal 11x19x6,2.00,,,1.00
Mechanical seal 17X35X7Mm,1.00,,,1.00
Mechanical seal 20X35X7Mm,9.00,,,0.00
Mechanical seal 20x30x7/10,3.00,,,2.00
Mechanical seal 25x35x13,13.00,,,3.00
Mechanical seal 25x42x7,6.00,,,3.00
Mechanical seal 30x40Mm,6.00,,,3.00
Mechanical seal 30x40x7Mm,3.00,,,2.00
Mechanical seal 30x47x7,0.00,,,2.00
Mechanical seal 31.8x50.8x6.35,0.00,,,0.00
Mechanical seal 34x50x10,8.00,,,3.00
Mechanical seal 36.1x50.8x7.95/8.95,4.00,,,2.00
Mechanical seal 38x55x7Mm,8.00,,,3.00
Mechanical seal 40Mm JCS1F309147-MFG,1.00,,,0.00
Mechanical seal 40X52X10Mm,2.00,,,2.00
Mechanical seal 40x50x10,4.00,,,2.00
Mechanical seal 45-72-8,1.00,,,0.00
Mechanical seal 45x62x10,2.00,,,2.00
Mechanical seal 48-60-8,1.00,,,0.00
Mechanical seal 50-72-8,1.00,,,0.00
Mechanical seal 50x75x12,4.00,,,2.00
Mechanical seal 52x68x10Mm,2.00,,,1.00
Mechanical seal 60X90X10Mm,2.00,,,1.00
Mechanical seal 65x100x10,9.00,,,3.00
Mechanical seal 65x90x10Mm,2.00,,,1.00
Mechanical seal 70x90x10Mm,4.00,,,3.00
Mechanical seal 85.72-111.12-13.7,1.00,,,0.00
Mechanical seal 95.25-120.65-13,2.00,,,1.00
Mechanical seal 95.2X65.2X11Mm,4.00,,,2.00
Mechanical seal P13-R/B D38. Pno:450662590,1.00,,,0.00
Mechanical seal for KSB CPK SO-32-160 CC,2.00,,,1.00
Mechanical seal for condenser pump.,0.00,,,1.00
"Mechanical seal for shaft 4.75""x5.75""x0.5""",0.00,,,2.00
Mechanical seal for water intake pump,2.00,,,2.00
Metal bar ÿ6.2Mm length 1000Mm,1554.00,,,10.00
Metal bar ÿ6.2Mm length 500Mm,1360.00,,,100.00
Metal cage,96.00,,,15.00
Metal clad protected plug,18.00,,,5.00
Metal clad protected plug ( used none working),7.00,,,0.00
"Metal pipe 4"" L405Mm : Material:MS",1.00,,,0.00
"Metal pipe 4"" L500Mm Material:MS",1.00,,,0.00
Metal plate 124x124x10Mm,1.00,,,0.00
Metal plate 125x125x10Mm,1.00,,,0.00
Metal plate 12x200x200,2.00,,,1.00
Metal plate 154x154x31.5,1.00,,,0.00
Metal plate 155x155x12.5Mm,1.00,,,0.00
Metal plate 155x155x8Mm,4.00,,,0.00
Metal plate 225x225x16.5Mm,1.00,,,0.00
Metal plate 6.5x10.5x5,12.00,,,3.00
Metal plate with whole 182x182x32.5Mm,19.00,,,5.00
Metal saddle,1.00,,,0.00
"Metall clad protected plug 250V, 20A",12.00,,,4.00
Metallic canopy for wall,1.00,,,0.00
"Metallic gasket ID173, OD407",1.00,,,0.00
Metallic gasket ID405 OD450,0.00,,,0.00
"Metallic gasket O4480 , ID265",1.00,,,0.00
Metallic half ring OD720Mm ID580Mm,2.00,,,1.00
Metallic hammer,1.00,,,1.00
Metallic junction box,3.00,,,0.00
Metallic mounting support,1.00,,,0.00
Metallic mounting support,2.00,,,1.00
Metallic pins OD40x75.5Mm,6.00,,,2.00
Metallic pipe bend 90∞ ÿ20Mm,40.00,,,10.00
Metallic pipe bend 90∞ ÿ28Mm,27.00,,,10.00
Metallic pipe bend 90∞ ÿ35Mm,4.00,,,2.00
Metallic profile L shape,77.00,,,10.00
Metallic profile L shape,5.00,,,2.00
Metallic profile L shape,19.00,,,5.00
Metallic round junction box,37.00,,,10.00
Metallic round support with hole ÿ60x5Mm,7.00,,,4.00
Metallic strip 150x90Mm,4.00,,,2.00
Metallic strip 180x50Mm,6.00,,,3.00
Metallic strip 210x100Mm,3.00,,,1.00
Metallic support bar,1.00,,,0.00
Metallic support bar 100x20x10Mm,5.00,,,3.00
Metallic support bar 100x30x8Mm,1.00,,,0.00
Metallic support bar 100x30x8Mm,3.00,,,2.00
Metallic support bar 110x33x10Mm,3.00,,,2.00
Metallic support bar 180x10,1.00,,,0.00
Metallic support bar 200x30x10.5Mm,14.00,,,7.00
Metallic support bar 200x40x8Mm,4.00,,,2.00
Metallic support bar 255x80x15Mm,4.00,,,2.00
Metallic support bar 50x30x20Mm,7.00,,,1.00
Metallic support bar 550x55x12Mm,3.00,,,2.00
Metallic support bar 65x32x10Mm,21.00,,,5.00
Metallic support plate,2.00,,,0.00
Metallic support plate,15.00,,,5.00
Metallic support plate  110x110x4Mm,2.00,,,1.00
Metallic support plate 100x60x15Mm,1.00,,,0.00
Metallic support plate 105x50x7Mm,8.00,,,4.00
Metallic support plate 120x100Mm,15.00,,,5.00
Metallic support plate 120x120x10Mm,1.00,,,0.00
Metallic support plate 130x100x9.5Mm,7.00,,,4.00
Metallic support plate 150x125x20Mm,2.00,,,1.00
Metallic support plate 150x150x10Mm,1.00,,,0.00
Metallic support plate 150x150x12Mm,2.00,,,1.00
Metallic support plate 190x190x4Mm,1.00,,,0.00
Metallic support plate 209x200x10Mm,9.00,,,5.00
Metallic support plate 250x200x20Mm,1.00,,,0.00
Metallic support plate 300x17x10Mm,1.00,,,0.00
Metallic support plate 54x50x20Mm,1.00,,,0.00
Metallic support plate 70x35x25Mm,50.00,,,10.00
Metallic support plate 76x42x10Mm,1.00,,,0.00
Metallic support plate 80x50x8Mm,2.00,,,1.00
Metallic support plate with holes 300x90x10Mm,1.00,,,0.00
Metallic switch box,2.00,,,0.00
Metso valve controller (used),2.00,,,0.00
Microfilters 0.45/47mm,0.00,,,0.00
Micrometer,2.00,,,0.00
Micrometer 18-35Mm,1.00,,,0.00
Micrometer 50-310Mm,1.00,,,0.00
Mid flange Pn. 392494,3.00,,,2.00
Miniature circuit breaker,10.00,,,4.00
Miniature circuit breaker,2.00,,,0.00
Miniature circuit breaker 4P 6CA,12.00,,,4.00
Mixer tape of washing hand sink,0.00,,,0.00
Mosquito killer tube light (short one),2.00,,,2.00
Mosquito killer tube light 15W,3.00,,,3.00
"Mosquito net for window, 10X1Mtrs",0.00,,,0.00
Motor charge 110-130V DC/AC,3.00,,,2.00
Motor protection relay,2.00,,,1.00
Motor shaft,1.00,,,0.00
Motor starter Type K1,2.00,,,0.00
Motor terminal block,10.00,,,4.00
Motor terminal block (small),17.00,,,5.00
"Motorized Valve 1-1/4""",1.00,,,0.00
"Motorized Valve 1-1/4""",1.00,,,0.00
"Motorized Valve 10""",1.00,,,0.00
Motorla 2 way Radio.,18.00,,,0.00
Motorla 2 way radio accessories kit,1.00,,,0.00
Mounting bracket,2.00,,,1.00
Mounting bracket,2.00,,,1.00
Mounting bracket,2.00,,,1.00
Mounting bracket,2.00,,,1.00
Mounting bracket,3.00,,,2.00
Mounting bracket,4.00,,,2.00
Mounting bracket,7.00,,,4.00
Mounting bracket,3.00,,,2.00
Mounting bracket,6.00,,,4.00
Mounting clamp,77.00,,,15.00
Mounting holder,2.00,,,0.00
Mounting kit,10.00,,,5.00
Mounting kit instrument,7.00,,,5.00
Mounting kit instrument,8.00,,,4.00
Multi socket,11.00,,,5.00
Multimeter probe,3.00,,,0.00
Mushroom actuator red latched contact block,10.00,,,4.00
"N4.0 oxygen, N5.0 nitrogen gas",5.00,,,3.00
NPT fitting,2.00,,,1.00
NPT fitting,13.00,,,4.00
NSK bearing 629-A4VVMC3E,2.00,,,2.00
NTN Bearing 6013 Z,2.00,,,1.00
NTN Bearing NJ 206,2.00,,,1.00
NUTRIENT BFR SOLN PLW.5ML PK/50,0.00,,,0.00
Needle valve handle,2.00,,,1.00
"Needle valve with 1/2"" nipple",1.00,,,0.00
Neoprene gasket ÿ320x270x3Mm,2.00,,,1.00
Neoprene gasket ÿ380xÿ310x3Mm,1.00,,,0.00
Neoprene rubber RBNO0620058,3.00,,,1.00
Neoprene rubber gasket with whole 220x112x3Mm,1.00,,,0.00
Neutral base link,3.00,,,2.00
Neutral displacement ralay,1.00,,,0.00
Neutral silicone weathering sealant,0.00,,,3.00
Nipple B17.5DIAXX30. IN0250522,36.00,,,5.00
"Nipple reducer 1"" Material:MS",1.00,,,0.00
Nividia graphic card,1.00,,,0.00
None insulated cable lug,347.00,,,50.00
None insulated cable lug,34.00,,,25.00
None insulated terminal ends connector 1.5SQMm,220.00,,,50.00
None insulated terminal ends connector 16Mm,75.00,,,20.00
None insulated terminal ends connector 2.5SQMm,120.00,,,50.00
None insulated terminal ends connector 2.5SQMm,180.00,,,50.00
None insulated terminal ends connector 4SQMm,170.00,,,25.00
None insulated terminal ends connector 6Mm,250.00,,,50.00
Nozzle,1.00,,,0.00
Nozzle for hot air blower,3.00,,,1.00
Nu M30 Material:GI,174.00,,,10.00
Nut M10,15.00,,,5.00
Nut M10,323.00,,,25.00
Nut M10 Material: Bronze,10146.00,,,50.00
Nut M10 Material:GI,20.00,,,10.00
Nut M10 Material:GI,45.00,,,10.00
Nut M10 Material:GI,262.00,,,10.00
Nut M10 Material:GI,4324.00,,,30.00
Nut M10 Material:SS,26.00,,,10.00
Nut M10 Material:SS,105.00,,,10.00
Nut M10 Material:SS,739.00,,,10.00
Nut M10 material MS,50.00,,,0.00
Nut M12 Material:GI,40.00,,,5.00
Nut M12 Material:GI,200.00,,,10.00
Nut M12 Material:GI,358.00,,,10.00
Nut M12 Material:MS,47.00,,,10.00
Nut M12 Material:MS,65.00,,,5.00
Nut M12 Material:SS,105.00,,,10.00
Nut M14 Material:GI,74.00,,,10.00
Nut M14 Material:MS,16.00,,,4.00
Nut M14 Material:MS,24.00,,,5.00
Nut M16 Material:GI,34.00,,,10.00
Nut M16 Material:GI,137.00,,,10.00
Nut M16 Material:GI,221.00,,,10.00
Nut M16 Material:GI,864.00,,,10.00
Nut M16 Material:MS,82.00,,,10.00
Nut M16 Material:MS,92.00,,,10.00
Nut M16 Material:MS,198.00,,,10.00
Nut M16 Material:SS,19.00,,,5.00
Nut M18 Material:GI,9.00,,,5.00
Nut M18 Material:GI,20.00,,,5.00
Nut M18 Material:GI,48.00,,,10.00
Nut M18 Material:MS,43.00,,,10.00
Nut M20,100.00,,,25.00
Nut M20 Material:GI,4.00,,,2.00
Nut M20 Material:GI,14.00,,,5.00
Nut M20 Material:GI,197.00,,,10.00
Nut M20 Material:MS,82.00,,,10.00
Nut M20 Material:MS,701.00,,,20.00
Nut M20 Material:SS,16.00,,,5.00
Nut M20 Material:SS,19.00,,,5.00
Nut M22 Material:GI,27.00,,,10.00
Nut M22 Material:GI,69.00,,,5.00
Nut M22 Material:GI,131.00,,,10.00
Nut M24 Material:GI,212.00,,,10.00
Nut M24 Material:MS,4.00,,,2.00
Nut M25,100.00,,,25.00
Nut M26 Material:GI,30.00,,,5.00
Nut M30x120Mm Material:GI,1.00,,,0.00
Nut M32 Material:GI,20.00,,,4.00
Nut M36 Material GI,29.00,,,5.00
Nut M38 Material:GI,8.00,,,4.00
Nut M38 Material:MS,23.00,,,5.00
Nut M4 Material:SS,10.00,,,5.00
Nut M40 Material:SS,0.00,,,5.00
Nut M44 Material:GI,6.00,,,3.00
Nut M50 Material:MS,8.00,,,3.00
Nut M6 Material: Bronze,122.00,,,10.00
Nut M6 Material:GI,50.00,,,10.00
Nut M6 Material:GI,498.00,,,10.00
Nut M6 Material:GI,640.00,,,30.00
Nut M6 Material:GI,2817.00,,,30.00
Nut M6 Material:GI,3151.00,,,30.00
Nut M6 Material:GI,12900.00,,,30.00
Nut M6 Material:SS,40.00,,,10.00
Nut M6 Material:SS,900.00,,,30.00
Nut M8,650.00,,,50.00
Nut M8,2363.00,,,250.00
Nut M8 Material: GI,803.00,,,30.00
Nut M8 Material:GI,174.00,,,10.00
Nut M8 Material:GI,216.00,,,10.00
Nut M8 Material:GI,397.00,,,10.00
Nut M8 Material:GI,1235.00,,,30.00
Nut M8 Material:GI,1724.00,,,30.00
Nut M8 Material:MS,4.00,,,2.00
Nut M8 Material:MS,65.00,,,20.00
Nut M8 Material:SS,47.00,,,5.00
Nut M8 Material:SS,99.00,,,10.00
Nut M8 Material:SS,193.00,,,10.00
Nut bolt M10x100Mm Material:SS,1.00,,,0.00
Nut bolt M10x110Mm Material:SS,14.00,,,5.00
Nut bolt M10x120Mm Material:SS,3.00,,,2.00
Nut bolt M10x120Mm Material:SS,5.00,,,3.00
Nut bolt M10x150Mm Material:GI,3.00,,,1.00
Nut bolt M10x30Mm Material:GI,18.00,,,5.00
Nut bolt M10x50Mm Material:GI,37.00,,,10.00
Nut bolt M10x65Mm Material:GI,29.00,,,5.00
Nut bolt M12x100Mm Material:SS,60.00,,,10.00
Nut bolt M12x110Mm Material:SS,6.00,,,4.00
Nut bolt M12x30Mm Material:GI,6.00,,,5.00
Nut bolt M12x40Mm Material:GI,225.00,,,10.00
Nut bolt M12x50Mm Material:GI,6.00,,,5.00
Nut bolt M12x55Mm Material:GI,12.00,,,4.00
Nut bolt M12x55Mm Material:GI,112.00,,,0.00
Nut bolt M12x80Mm Material:GI,1.00,,,0.00
Nut bolt M12x80Mm Material:SS,12.00,,,4.00
Nut bolt M14:70Mm Material:MS,19.00,,,5.00
Nut bolt M14x70Mm Material:GI,2.00,,,1.00
Nut bolt M14x80Mm Material:GI,8.00,,,2.00
Nut bolt M16x200Mm Material:MS,44.00,,,10.00
Nut bolt M16x35Mm Material:MS,316.00,,,20.00
Nut bolt M16x55Mm Material:MS,55.00,,,10.00
Nut bolt M16x55Mm Material:MS,198.00,,,20.00
Nut bolt M16x75Mm Material:MS,16.00,,,5.00
Nut bolt M20x100Mm Material:GI,82.00,,,10.00
Nut bolt M20x150Mm Material:GI,7.00,,,4.00
Nut bolt M24x100Mm Material:GI,74.00,,,10.00
Nut bolt M24x120Mm Material:MS,20.00,,,5.00
Nut bolt M24x270Mm Material:GI,6.00,,,2.00
Nut bolt M24x90Mm Material:MS,78.00,,,10.00
Nut bolt M24x90Mm Material:MS,86.00,,,10.00
Nut bolt M30x110Mm Material:GI,21.00,,,10.00
Nut bolt M30x140Mm Material:MS,14.00,,,5.00
Nut bolt M30x180Mm Material:GI,320.00,,,20.00
Nut bolt M40x160Mm Material:MS,76.00,,,20.00
Nut bolt M5x25Mm Material:GI,17.00,,,5.00
Nut bolt M6x15Mm Material:GI,98.00,,,10.00
Nut bolt M6x15Mm Material:GI,270.00,,,10.00
Nut bolt M6x20Mm Material:SS,149.00,,,10.00
Nut bolt M8x105Mm Material:GI,143.00,,,10.00
Nut bolt M8x15Mm Material:GI,179.00,,,10.00
Nut bolt M8x20Mm Material:GI,10.00,,,0.00
Nut bolt M8x20Mm Material:SS,5.00,,,2.00
Nut bolt M8x50Mm Material:SS,94.00,,,10.00
Nut bolt M8x70Mm Material:SS,50.00,,,10.00
Nut bolt M8x80Mm Material:GI,15.00,,,5.00
Nut bolt with square washer M10x45Mm Material:GI,4.00,,,2.00
Nut bolt with washer M10x100Mm Material: Bronze,605.00,,,20.00
Nut bolt with washer M10x25Mm Material:GI,10.00,,,5.00
Nut bolt with washer M10x35Mm Material:GI,109.00,,,5.00
Nut bolt with washer M10x40Mm Material:GI,267.00,,,5.00
Nut bolt with washer M10x45Mm Material:GI,30.00,,,5.00
Nut bolt with washer M10x60Mm Material:GI,22.00,,,5.00
Nut bolt with washer M12x110Mm Material:GI,10.00,,,4.00
Nut bolt with washer M12x25Mm Material:GI,11.00,,,4.00
Nut bolt with washer M12x30Mm Material:GI,8.00,,,4.00
Nut bolt with washer M12x30Mm Material:MS,6.00,,,3.00
Nut bolt with washer M12x35Mm Material:GI,30.00,,,10.00
Nut bolt with washer M12x35Mm Material:GI,36.00,,,10.00
Nut bolt with washer M12x40Mm Material:GI,8.00,,,4.00
Nut bolt with washer M12x40Mm Material:MS,32.00,,,10.00
Nut bolt with washer M12x45Mm Material:GI,14.00,,,5.00
Nut bolt with washer M12x50Mm Material:GI,464.00,,,20.00
Nut bolt with washer M12x55Mm Material:GI,8.00,,,3.00
Nut bolt with washer M12x60Mm Material:GI,8.00,,,4.00
Nut bolt with washer M12x60Mm Material:GI,1224.00,,,50.00
Nut bolt with washer M12x65Mm Material:GI,768.00,,,20.00
Nut bolt with washer M12x70Mm Material:GI,4.00,,,2.00
Nut bolt with washer M12x70Mm Material:GI,16.00,,,5.00
Nut bolt with washer M12x70Mm Material:GI,19.00,,,5.00
Nut bolt with washer M12x70Mm Material:GI,20.00,,,5.00
Nut bolt with washer M12x75Mm Material:GI,2.00,,,0.00
Nut bolt with washer M12x80Mm Material:GI,9.00,,,4.00
Nut bolt with washer M16x40Mm Material:GI,45.00,,,10.00
Nut bolt with washer M16x50Mm Material:SS,2.00,,,1.00
Nut bolt with washer M16x75Mm,4.00,,,2.00
Nut bolt with washer M16x75Mm Material:GI,180.00,,,10.00
Nut bolt with washer M18x80Mm Material:SS,6.00,,,0.00
Nut bolt with washer M20x50Mm Material:GI,0.00,,,0.00
Nut bolt with washer M20x50Mm Material:MS,10.00,,,5.00
Nut bolt with washer M24x115Mm Material:GI,118.00,,,20.00
Nut bolt with washer M24x130Mm,449.00,,,50.00
Nut bolt with washer M24x130Mm Material:GI,23.00,,,10.00
Nut bolt with washer M24x140Mm,680.00,,,50.00
Nut bolt with washer M24x150Mm,735.00,,,50.00
Nut bolt with washer M24x150Mm,1151.00,,,50.00
Nut bolt with washer M24x160Mm,495.00,,,50.00
Nut bolt with washer M24x180Mm,106.00,,,50.00
Nut bolt with washer M30x100Mm Material:GI,32.00,,,10.00
Nut bolt with washer M30x180Mm,545.00,,,50.00
Nut bolt with washer M30x620Mm Material:MS,2.00,,,1.00
Nut bolt with washer M48x455Mm Material:MS,8.00,,,2.00
Nut bolt with washer M6x15Mm Material:GI,113.00,,,10.00
Nut bolt with washer M6x15Mm Material:GI,156.00,,,10.00
Nut bolt with washer M6x20Mm Material:GI,115.00,,,10.00
Nut bolt with washer M6x45Mm Material:SS,14.00,,,5.00
Nut bolt with washer M8x120Mm Material:SS,158.00,,,10.00
Nut bolt with washer M8x150Mm Material:SS,6.00,,,2.00
Nut bolt with washer M8x150Mm Material:SS,6.00,,,3.00
Nut bolt with washer M8x20Mm,16.00,,,4.00
Nut bolt with washer M8x20Mm Material:GI,54.00,,,10.00
Nut bolt with washer M8x20Mm Material:GI,660.00,,,30.00
Nut bolt with washer M8x25Mm Material:GI,18.00,,,5.00
Nut bolt with washer M8x25Mm Material:GI,20.00,,,5.00
Nut bolt with washer M8x25Mm Material:GI,80.00,,,10.00
Nut bolt with washer M8x30Mm Material:GI,10.00,,,5.00
Nut bolt with washer M8x30Mm Material:GI,264.00,,,10.00
Nut bolt with washer M8x35Mm Material:SS,8.00,,,2.00
Nut bolt with washer M8x40Mm Material:GI,16.00,,,5.00
Nut bolt with washer M8x40Mm Material:GI,21.00,,,5.00
Nut bolt with washer M8x45Mm Material:GI,4.00,,,2.00
Nut bolt with washer M8x50Mm Material:GI,21.00,,,5.00
Nut bolt with washer Material:GI,124.00,,,10.00
Nut bolt with washer Material:MS,44.00,,,5.00
Nut bolts M30x100Mm,23.00,,,5.00
Nut bolts and washers M30x160,153.00,,,15.00
Nut bolts with washer M16x40Mm,884.00,,,100.00
Nut bolts with washers M30x110Mm,23.00,,,5.00
Nut bolts with washers M30x140Mm,47.00,,,8.00
Nut bolts with washers M30x180Mm,165.00,,,15.00
Nut bolts with washers M30x180Mm Material:MS,238.00,,,20.00
Nut. Pn 096-4879,3.00,,,2.00
Nylon hose OD12xID7.5Mm,19.00,,,5.00
Nylon pad,1.00,,,0.00
O ring 11.5x1.5Mm,2.00,,,1.00
O ring 148x3 Mm,49.00,,,10.00
O ring 2x30Mm,13.00,,,3.00
"O ring Di 10Mm, 16M long",16.00,,,5.00
O ring L3330 MM,2.00,,,1.00
O ring OD10Mm,1.00,,,0.00
O ring assortment D2-12Mm,1.00,,,0.00
O ring assortment D2.90-20.22Mm,1.00,,,0.00
O-Ring 10Mm for CAT,4.00,,,2.00
O-ring - 242x8,1.00,,,0.00
O-ring 1000x3,1.00,,,0.00
O-ring 100x3,8.00,,,2.00
O-ring 100x3.4,6.00,,,2.00
O-ring 109x4,16.00,,,4.00
O-ring 10x2.5,2.00,,,2.00
O-ring 110x4,2.00,,,0.00
O-ring 115x5,6.00,,,2.00
O-ring 120x5,0.00,,,1.00
O-ring 120x5,2.00,,,1.00
O-ring 130x2.5,4.00,,,2.00
O-ring 15x5.2,4.00,,,2.00
O-ring 165x5,18.00,,,4.00
O-ring 17x2.5,18.00,,,3.00
O-ring 2000x2.2,1.00,,,0.00
O-ring 2000x2.5,1.00,,,0.00
O-ring 203 NBR. Pn 093-0005,16.00,,,5.00
O-ring 20x1.8,3.00,,,1.00
O-ring 216x4,7.00,,,2.00
O-ring 220x2,2.00,,,1.00
O-ring 223406-27,1.00,,,0.00
O-ring 223406-27,1.00,,,0.00
O-ring 223406-27,1.00,,,0.00
O-ring 224x4,1.00,,,0.00
O-ring 228x4,3.00,,,1.00
O-ring 23x5.2,4.00,,,2.00
O-ring 240x5,1.00,,,0.00
O-ring 240x5,2.00,,,1.00
O-ring 267x4. FKM 80,14.00,,,3.00
O-ring 270x5,1.00,,,0.00
O-ring 27x3,2.00,,,1.00
O-ring 290x4,3.00,,,1.00
O-ring 30x2,11.00,,,4.00
O-ring 320x5,1.00,,,0.00
O-ring 340x4,3.00,,,1.00
O-ring 35x2.5,1.00,,,0.00
O-ring 35x7,5.00,,,2.00
O-ring 38x1.8,1.00,,,0.00
O-ring 390x5,4.00,,,2.00
O-ring 408x5,4.00,,,2.00
O-ring 46.5x1.6,1.00,,,0.00
O-ring 6000x4.5,1.00,,,0.00
O-ring 64101,2.00,,,0.00
O-ring 65x2,2.00,,,1.00
O-ring 66555,2.00,,,0.00
O-ring 70942,2.00,,,0.00
O-ring 70942,2.00,,,0.00
O-ring 70x4,12.00,,,2.00
O-ring 88x3,8.00,,,2.00
O-ring 91x3,4.00,,,2.00
O-ring 91x3. NB70,8.00,,,2.00
O-ring 95x3,12.00,,,3.00
O-ring 95x4,16.00,,,4.00
O-ring BIL-1043\20,1.00,,,0.00
O-ring Pno: BIL-1043/03,2.00,,,0.00
O-ring pusher pump seal (used),1.00,,,1.00
O-ring wbs:Q\0100308185-0010,1.00,,,0.00
O-ring with 3Mm diameter,11.00,,,2.00
O-ring. Pn 225-7738,2.00,,,1.00
OUTDO bearing 607Z,2.00,,,1.00
Oil filter,1.00,,,0.00
Oil filter FY6103,6.00,,,2.00
Oil filter OC 1179,2.00,,,0.00
Oil filter for JCB. Pn 320/04134,2.00,,,2.00
Oil filter for Valtra tractors. Pn V836679586,5.00,,,5.00
Oil filter. Pn 558-0428,4.00,,,4.00
Oil level gauge sight glass,2.00,,,1.00
Oil level glass 8391-100,1.00,,,1.00
Oil leveler pump,2.00,,,1.00
Oil seal 19x38x10Mm,9.00,,,3.00
Oil seal 20X42X10Mm,4.00,,,2.00
Oil seal 40x52x7,1.00,,,1.00
Oil seal 90310-38033,0.00,,,1.00
Oil seal 90311-78001,0.00,,,1.00
Oil seal for PHP flight chain conveyor 300X340X20Mm,2.00,,,1.00
Oil seal for PHP flight chain conveyor 70X100X10Mm,1.00,,,1.00
Oil seal for caterpillar. Pn 7K-9210,0.00,,,0.00
Oil seal for fuel rotary feeder 150X180X15Mm,2.00,,,1.00
Oil seal for rotary feeder 45X72X8Mm,1.00,,,1.00
Oil seal. 25-40-7,4.00,,,0.00
Oil seal. 35-72-8,3.00,,,2.00
Oil temperature indicator,2.00,,,1.00
Opening coil kit 110-126V AC/DC,1.00,,,0.00
Opening coil kit 220-250V AC/DC,1.00,,,0.00
Opening release Y01-M01-MB01,1.00,,,0.00
Optical patch cable (different sizes),39.00,,,5.00
Orange Colored panel lamp,4.00,,,2.00
Orifice 10Mm,2.00,,,1.00
Orifice for flow transmitter,1.00,,,0.00
Orifice plate ÿ220x3Mm,1.00,,,0.00
Orifice plate ÿ24 - stainles steel,4.00,,,0.00
Orifice plate ÿ5 - stainless steel,10.00,,,3.00
Orifiele OD58Mm ID8Mm,2.00,,,0.00
Out door weather proof canopy,3.00,,,2.00
Outdoor internet cable,1.00,,,0.00
Over voltage/Current protection,1.00,,,0.00
Overload relay,1.00,,,0.00
Overload relay LRD08,1.00,,,1.00
Oxygen cylinder,4.00,,,3.00
Oxygen meter,1.00,,,0.00
Oxygen regulator (used),1.00,,,0.00
PAF cable 4Cx1.5SQMm,150.00,,,20.00
PAF: 061,6.00,,,3.00
PEN 8x1.25 10Bar pipe,1.00,,,0.00
PH indicator paper ( 200 strips inside 1 pack),10.00,,,0.00
PH measuring papers,1.00,,,0.00
PH sensor,1.00,,,0.00
PL connector and adapter,12.00,,,2.00
"PP flexible pipe 1""",80.00,,,20.00
"PPR elbow 11/2""",1.00,,,0.00
"PPR elbow 50Mm (2"")",1.00,,,0.00
"PPR tee 50Mm (2"")",1.00,,,0.00
"PRV shroud pipe flage 4""",2.00,,,1.00
PS for GT panel,2.00,,,1.00
PTO axel Pn. ACV0222060,2.00,,,1.00
"PVC 1/4"" tube Tee fitting",15.00,,,5.00
PVC Electrical pipe bend 32Mm 90∞,20.00,,,10.00
"PVC Hex wrench for 3"" valve",6.00,,,3.00
PVC Y strainer,2.00,,,1.00
"PVC Y strainer 1"" (used)",1.00,,,0.00
"PVC blind flange 1""",6.00,,,3.00
"PVC blind flange 1-1/2""",6.00,,,3.00
"PVC blind flange 2""",10.00,,,4.00
"PVC blind flange 2-1/2""",8.00,,,4.00
"PVC butterfly valve 1-1/2""",1.00,,,0.00
PVC cable gland,30.00,,,10.00
PVC cable gland,10.00,,,5.00
PVC cable gland,12.00,,,6.00
PVC cable gland 20Mm,22.00,,,8.00
PVC cable gland 20Mm,34.00,,,10.00
PVC cable gland 25Mm,35.00,,,10.00
PVC cable gland 25Mm,40.00,,,20.00
PVC cable gland M40x1.5Mm,13.00,,,8.00
PVC cable gland PG13.5,258.00,,,50.00
PVC cable gland PG16,16.00,,,8.00
PVC cable gland PG21,5.00,,,3.00
PVC cable gland PG25,13.00,,,5.00
PVC cable gland PG27,10.00,,,5.00
PVC cable gland PG42,9.00,,,5.00
PVC cable gland PG48,8.00,,,4.00
PVC cable gland PG68,37.00,,,10.00
PVC cable gland PG7,630.00,,,100.00
PVC cable gland PG9,78.00,,,15.00
PVC cable marking 1.5 SQMm,980.00,,,50.00
PVC cable marking 1SQMm,980.00,,,100.00
"PVC cap 1-1/2""",4.00,,,2.00
"PVC coated flexible conduit 1""",25.00,,,5.00
"PVC coated flexible conduit 1""",145.00,,,25.00
"PVC cross tee 1"" 90∞",3.00,,,2.00
"PVC cross tee 11/2"" 90∞",2.00,,,1.00
"PVC cross tee 11/2""x1"" 90∞",2.00,,,1.00
"PVC elbow 1"" 45∞",18.00,,,8.00
"PVC elbow 1/2""",0.00,,,3.00
"PVC elbow 1/2"" 90∞",2.00,,,0.00
"PVC elbow 11/4""",2.00,,,1.00
"PVC elbow 11/4"" 45∞",2.00,,,1.00
"PVC elbow 11/4"" 90∞",1.00,,,0.00
"PVC elbow 11/4"" 90∞",12.00,,,6.00
"PVC elbow 11/4"" 90∞",25.00,,,10.00
"PVC elbow 2-1/2"" 45∞",9.00,,,5.00
"PVC elbow 2-1/2"" 90∞",27.00,,,10.00
"PVC elbow 3"" 90∞",1.00,,,0.00
"PVC elbow 5"" 90∞",1.00,,,0.00
